Date,Price,Open,High,Low,Vol.,Change %
10/16/2017,22.02,22.02,22.02,21.28,11.80K,0.00%
10/17/2017,22.02,22.02,22.02,22.02,,0.00%
10/19/2017,22.02,22.02,22.02,22.02,,0.00%
10/20/2017,22.02,23.34,23.34,23.34,0.33K,0.00%
10/23/2017,22.02,23.32,23.32,23.32,0.03K,0.00%
10/24/2017,22.02,22.12,22.78,22.02,10.01K,0.00%
10/25/2017,22.02,22.74,22.74,22.74,0.03K,0.00%
10/26/2017,22.02,22,22,22,0.02K,0.00%
10/27/2017,21.8,22,22,21.8,0.55K,-1.00%
10/30/2017,21.8,21.8,21.8,21.8,8.51K,0.00%
10/31/2017,21.58,21.5,21.6,21.5,73.46K,-1.01%
11/1/2017,21.4,22,22,21.4,42.22K,-0.83%
11/2/2017,21.4,21.4,21.4,21.4,,0.00%
11/6/2017,21.4,21.4,21.4,21.4,,0.00%
11/7/2017,21.4,21.4,21.4,21.4,,0.00%
11/8/2017,21.26,21.4,21.4,21.2,54.23K,-0.65%
11/9/2017,21.26,21.26,21.26,21.26,,0.00%
11/10/2017,21.26,21.26,21.26,21.26,,0.00%
11/13/2017,21.26,21.26,21.26,21.26,,0.00%
11/14/2017,21.26,21.22,21.98,21.22,0.36K,0.00%
11/15/2017,21.26,21.26,21.26,21.26,,0.00%
11/16/2017,21.2,21.2,21.2,21.2,1.16K,-0.28%
11/17/2017,21.16,20.3,21.2,20.3,13.21K,-0.19%
11/20/2017,21.16,21.16,21.16,21.16,,0.00%
11/21/2017,21.16,21.16,21.16,21.16,,0.00%
11/22/2017,20.8,20.86,20.86,20.8,25.39K,-1.70%
11/23/2017,20.8,20.8,20.8,20.8,,0.00%
11/24/2017,20.8,20.82,20.82,20.82,0.17K,0.00%
11/27/2017,21.2,21.2,21.2,21.2,33.92K,1.92%
11/28/2017,21.2,21.2,21.2,21.2,,0.00%
11/29/2017,21,21,21.2,21,5.67K,-0.94%
11/30/2017,21,21,21,21,,0.00%
12/4/2017,21.16,21,21.2,21,2.36K,0.76%
12/5/2017,21.1,21.1,21.12,21.1,187.38K,-0.28%
12/6/2017,21.1,21.1,21.1,21.1,,0.00%
12/7/2017,21.1,21.1,21.1,21.1,,0.00%
12/8/2017,21.1,21.1,21.1,21.1,,0.00%
12/11/2017,21,21,21,21,0.50K,-0.47%
12/12/2017,20.7,20.7,20.7,20.7,25.01K,-1.43%
12/13/2017,21.2,20.62,21.2,20.4,134.44K,2.42%
12/14/2017,21.2,20.32,20.32,20.32,0.01K,0.00%
12/15/2017,21.2,21.2,21.2,21.2,,0.00%
12/18/2017,21.2,21.2,21.2,21.2,,0.00%
12/19/2017,21.4,21.4,21.4,21.4,3.02K,0.94%
12/20/2017,21.4,21.4,21.4,21.4,,0.00%
12/21/2017,23,22.98,23,22.98,1.00K,7.48%
12/22/2017,23,23,23,23,,0.00%
12/26/2017,23,23,23,23,,0.00%
12/27/2017,23,23,23,23,,0.00%
12/28/2017,23,22.4,22.4,22.4,0.03K,0.00%
12/29/2017,23,21,21,21,0.03K,0.00%
1/2/2018,21.2,21.2,21.2,21.2,176.13K,-7.83%
1/3/2018,21.6,21.6,21.6,21.6,9.83K,1.89%
1/4/2018,21.6,21.6,21.6,21.6,,0.00%
1/5/2018,22.22,22,22.76,22,4.12K,2.87%
1/8/2018,22.22,22.22,22.22,22.22,,0.00%
1/9/2018,22.22,22.22,22.22,22.22,,0.00%
1/10/2018,22.22,22.22,22.22,22.22,,0.00%
1/11/2018,22.22,22.22,22.22,22.22,,0.00%
1/12/2018,21.3,21.3,21.3,21.3,1.44K,-4.14%
1/16/2018,21.3,21.3,21.3,21.3,,0.00%
1/17/2018,21.3,21.3,21.3,21.3,,0.00%
1/18/2018,21.3,21.3,21.3,21.3,,0.00%
1/19/2018,21.3,21.3,21.3,21.3,,0.00%
1/22/2018,21.3,21.32,21.32,21.3,9.26K,0.00%
1/23/2018,21.3,21.3,21.3,21.3,,0.00%
1/24/2018,20.52,21.2,21.2,20.52,1.00K,-3.66%
1/25/2018,20.52,20.52,20.52,20.52,0.01K,0.00%
1/26/2018,20.52,20.52,20.52,20.52,,0.00%
1/29/2018,21.4,21.38,21.4,21.38,6.64K,4.29%
1/30/2018,21.4,21.4,21.4,21.4,,0.00%
2/1/2018,21.4,21.4,21.4,21.4,,0.00%
2/2/2018,20.8,20.8,20.8,20.8,7.51K,-2.80%
2/6/2018,20.8,20.8,20.8,20.8,,0.00%
2/7/2018,20.8,20.8,20.8,20.8,,0.00%
2/8/2018,20.8,21.4,21.4,21.4,0.05K,0.00%
2/9/2018,20.8,20.8,20.8,20.8,,0.00%
2/12/2018,21.4,21.4,21.4,21.4,0.50K,2.88%
2/14/2018,21.4,21.4,21.4,21.4,,0.00%
2/15/2018,21,21.02,21.04,20.44,9.50K,-1.87%
2/16/2018,21,21.2,21.2,21.2,0.29K,0.00%
2/19/2018,21,21,21,21,,0.00%
2/20/2018,20.64,20.64,20.64,20.64,81.09K,-1.71%
2/21/2018,20.72,21,21.2,20.7,25.10K,0.39%
2/22/2018,20.72,20.72,20.72,20.72,,0.00%
2/23/2018,20.72,20.72,20.72,20.72,,0.00%
2/26/2018,21,21,21,21,5.47K,1.35%
2/27/2018,21,21,21,21,,0.00%
2/28/2018,20.66,20.68,20.68,20.66,7.18K,-1.62%
3/2/2018,20.64,20.68,20.68,20.6,28.25K,-0.10%
3/5/2018,20.62,20.62,20.62,20.62,1.00K,-0.10%
3/6/2018,20.62,20.62,20.62,20.62,,0.00%
3/7/2018,20.64,20.64,20.64,20.64,0.50K,0.10%
3/8/2018,21.2,21.2,21.2,21.18,43.85K,2.71%
3/9/2018,21.24,21.22,21.26,21.22,0.71K,0.19%
3/12/2018,21.24,21.4,21.52,21.4,0.30K,0.00%
3/13/2018,21.4,21.4,21.4,21.4,0.77K,0.75%
3/14/2018,21.4,21.4,21.4,21.4,,0.00%
3/15/2018,21.5,22.2,22.2,21.4,1.02K,0.47%
3/16/2018,21.5,21,21,20.76,0.39K,0.00%
3/19/2018,20.6,20.6,20.6,20.54,0.57K,-4.19%
3/20/2018,20.6,20.5,20.5,20.5,0.10K,0.00%
3/21/2018,20.6,20.6,20.6,20.6,,0.00%
3/22/2018,20.6,20.5,20.5,20.5,0.25K,0.00%
3/23/2018,20.5,20.5,20.5,20.5,0.50K,-0.49%
3/26/2018,20.04,20.12,20.7,20,2.05K,-2.24%
3/27/2018,20,20,20,20,5.03K,-0.20%
3/28/2018,20,20,20,20,10.05K,0.00%
3/29/2018,19.94,20,20,19.9,8.15K,-0.30%
4/2/2018,19.94,19.94,19.94,19.94,,0.00%
4/3/2018,20,20,20,20,5.00K,0.30%
4/4/2018,20,20,20,20,,0.00%
4/5/2018,20,20,20,20,1.00K,0.00%
4/6/2018,20,19.92,20.1,19.92,0.16K,0.00%
4/9/2018,20,20.2,20.2,20.2,0.05K,0.00%
4/10/2018,20,20,20,20,,0.00%
4/11/2018,20.2,20.2,20.2,20.2,3.35K,1.00%
4/12/2018,21.2,21.2,21.2,21.2,552.66K,4.95%
